epoch,loss,acc
85,1.5529,93.1323
86,1.5388,93.7500
86,1.5658,92.1875
86,1.5422,92.4479
86,1.5255,93.1641
86,1.5611,93.1323
87,1.5523,92.9688
87,1.5457,92.9688
87,1.5612,92.4479
87,1.5408,92.5781
87,1.5249,92.9648
88,1.5475,92.9688
88,1.5314,93.7500
88,1.5195,94.2708
88,1.5924,92.9688
88,1.5497,92.9648
89,1.5227,95.3125
89,1.5201,95.3125
89,1.5519,94.5312
89,1.5945,92.7734
89,1.5385,92.9648
90,1.5487,92.9688
90,1.5320,94.1406
90,1.5790,92.7083
90,1.5481,92.5781
90,1.5127,93.1323
91,1.5247,96.0938
91,1.5552,93.7500
91,1.5807,92.1875
91,1.5253,92.9688
91,1.5523,92.9648
92,1.5306,95.3125
92,1.5502,93.7500
92,1.5325,94.0104
92,1.5616,93.3594
92,1.5651,92.9648
93,1.5274,94.5312
93,1.5748,92.1875
93,1.5244,93.2292
93,1.5451,93.3594
93,1.5744,92.9648
94,1.5472,92.9688
94,1.5690,91.7969
94,1.5417,92.4479
94,1.5326,92.9688
94,1.5403,93.1323
95,1.5260,96.0938
95,1.5535,94.1406
95,1.5229,94.5312
95,1.5556,93.7500
95,1.5908,92.9648
96,1.5313,93.7500
96,1.5268,94.5312
96,1.5595,93.7500
96,1.5449,93.7500
96,1.5796,93.1323
97,1.5584,92.1875
97,1.5690,91.0156
97,1.5255,92.4479
97,1.5241,93.3594
97,1.5707,93.1323
98,1.5617,91.4062
98,1.5441,92.1875
98,1.5531,92.1875
98,1.5325,92.7734
98,1.5412,92.9648
99,1.5451,92.9688
99,1.5289,94.1406
99,1.5711,92.9688
99,1.5257,93.5547
99,1.5668,93.1323
100,1.5498,92.9688
100,1.5387,93.3594
100,1.5279,93.7500
100,1.5531,93.5547
100,1.5646,93.1323
101,1.5365,93.7500
101,1.5721,92.1875
101,1.5256,93.4896
101,1.5540,93.1641
101,1.5441,93.1323
102,1.5354,93.7500
102,1.5487,93.3594
102,1.5326,93.4896
102,1.6006,91.9922
102,1.4939,92.9648
103,1.5273,95.3125
103,1.5380,94.5312
103,1.5625,93.4896
103,1.5489,93.3594
103,1.5581,93.1323
104,1.5654,91.4062
104,1.5335,92.9688
104,1.5623,92.4479
104,1.5260,93.1641
104,1.5484,93.1323
105,1.5427,93.7500
105,1.5293,94.1406
105,1.5707,92.9688
105,1.5452,92.9688
105,1.5423,93.1323
106,1.5448,92.9688
106,1.5308,94.1406
106,1.5458,93.7500
106,1.5705,92.9688
106,1.5357,93.1323
107,1.5675,91.4062
107,1.4984,94.5312
107,1.5387,94.2708
107,1.5593,93.7500
107,1.5842,93.1323
108,1.5497,92.9688
108,1.5351,93.7500
108,1.5440,93.7500
108,1.5621,93.1641
108,1.5447,93.1323
109,1.5816,89.0625
109,1.5614,90.6250
109,1.5530,91.1458
109,1.5116,92.5781
109,1.5212,93.1323
110,1.5511,92.9688
110,1.5528,92.5781
110,1.5553,92.4479
110,1.5262,93.1641
110,1.5451,93.1323
111,1.5351,93.7500
111,1.5462,93.3594
111,1.5398,93.4896
111,1.5403,93.5547
111,1.5754,93.1323
112,1.5389,92.9688
112,1.5508,92.9688
112,1.5402,93.4896
112,1.5381,93.5547
112,1.5705,93.1323
113,1.5712,89.8438
113,1.5432,91.4062
113,1.5639,91.4062
113,1.5286,92.1875
113,1.5184,92.9648
114,1.5611,91.4062
114,1.5926,89.8438
114,1.4957,92.4479
114,1.5568,92.5781
114,1.5113,93.1323
115,1.5349,94.5312
115,1.5435,94.1406
115,1.5408,94.0104
115,1.5463,93.7500
115,1.5775,93.1323
116,1.5585,92.1875
116,1.5591,92.1875
116,1.5617,91.6667
116,1.5164,92.7734
116,1.5383,92.9648
117,1.5339,94.5312
117,1.5602,92.9688
117,1.5297,93.4896
117,1.5489,93.3594
117,1.5655,93.1323
118,1.5347,94.5312
118,1.5513,93.7500
118,1.5439,93.7500
118,1.5196,94.1406
118,1.5955,93.1323
119,1.5572,92.1875
119,1.5609,91.7969
119,1.5419,92.4479
119,1.5445,92.5781
119,1.5151,93.1323
120,1.5391,93.7500
120,1.5565,92.5781
120,1.5425,92.9688
120,1.5588,92.7734
120,1.5282,93.1323
121,1.5550,92.9688
121,1.5544,92.5781
121,1.5565,92.1875
121,1.5383,92.7734
121,1.5183,93.1323
122,1.5309,95.3125
122,1.5511,93.7500
122,1.5226,94.2708
122,1.5588,93.7500
122,1.5906,92.9648
123,1.5274,95.3125
123,1.5502,94.1406
123,1.5576,93.2292
123,1.5756,92.3828
123,1.5026,93.1323
124,1.5458,94.5312
124,1.5449,93.7500
124,1.5397,93.4896
124,1.5618,92.9688
124,1.5313,93.1323
125,1.5382,93.7500
125,1.5440,93.3594
125,1.5315,93.7500
125,1.5445,93.7500
125,1.5878,93.1323
126,1.5425,93.7500
126,1.5706,92.5781
126,1.5271,93.4896
126,1.5512,93.1641
126,1.5462,93.1323
127,1.5397,93.7500
127,1.5515,93.3594
127,1.5326,93.7500
127,1.5287,93.9453
127,1.5940,93.1323
128,1.5471,92.9688
128,1.5093,94.9219
128,1.5852,92.9688
128,1.5250,93.5547
128,1.5730,93.1323
129,1.5186,96.0938
129,1.5688,93.3594
129,1.5354,93.7500
129,1.5622,93.1641
129,1.5525,93.1323
130,1.5227,95.3125
130,1.5837,92.1875
130,1.5414,92.7083
130,1.5273,93.3594
130,1.5571,93.1323
131,1.5542,92.1875
131,1.5116,94.5312
131,1.5501,93.7500
131,1.5372,93.9453
131,1.5937,93.1323
132,1.5389,94.5312
132,1.5271,94.5312
132,1.5352,94.5312
132,1.5699,93.5547
132,1.5698,93.1323
133,1.5350,93.7500
133,1.5531,92.9688
133,1.5937,91.4062
133,1.5201,92.5781
133,1.5227,93.1323
134,1.5569,92.1875
134,1.5535,92.5781
134,1.5270,93.2292
134,1.5252,93.7500
134,1.5829,93.1323
135,1.5196,96.0938
135,1.5818,92.5781
135,1.5662,92.1875
135,1.5430,92.3828
135,1.5177,92.9648
136,1.5177,96.0938
136,1.5497,94.5312
136,1.5373,94.2708
136,1.5675,93.3594
136,1.5656,92.9648
137,1.5292,95.3125
137,1.5493,94.1406
137,1.5659,92.9688
137,1.5327,93.3594
137,1.5576,93.1323
138,1.5402,93.7500
138,1.5563,92.9688
138,1.5162,94.0104
138,1.5432,93.7500
138,1.5908,93.1323
139,1.5666,91.4062
139,1.5045,94.1406
139,1.5501,94.0104
139,1.5437,93.9453
139,1.5920,93.1323
140,1.5398,93.7500
140,1.5298,94.5312
140,1.5659,93.4896
140,1.5519,93.1641
140,1.5436,93.1323
141,1.5520,92.1875
141,1.5675,91.7969
141,1.5333,92.7083
141,1.5543,92.5781
141,1.5118,93.1323
142,1.5082,97.6562
142,1.5643,94.5312
142,1.5658,93.2292
142,1.5433,93.1641
142,1.5483,93.1323
143,1.5402,93.7500
143,1.5646,92.1875
143,1.6193,90.1042
143,1.5059,91.9922
143,1.4814,93.1323
144,1.5496,92.9688
144,1.5580,92.1875
144,1.5203,93.2292
144,1.5511,93.3594
144,1.5555,93.1323
145,1.5449,92.9688
145,1.5572,92.5781
145,1.5135,93.7500
145,1.5645,93.1641
145,1.5526,93.1323
146,1.5315,94.5312
146,1.5615,92.9688
146,1.5300,93.4896
146,1.5355,93.7500
146,1.5830,93.1323
147,1.5518,92.1875
147,1.5520,92.5781
147,1.5416,92.9688
147,1.5567,92.7734
147,1.5209,93.1323
148,1.5408,93.7500
148,1.5569,92.9688
148,1.5181,94.0104
148,1.5605,93.3594
148,1.5591,93.1323
149,1.5325,94.5312
149,1.5803,92.1875
149,1.5356,92.7083
149,1.5276,93.1641
149,1.5584,92.9648
150,1.5461,93.7500
150,1.5384,93.7500
150,1.5481,93.2292
150,1.5612,92.7734
150,1.5312,93.1323
